,title,year,certification,genres,runtime,director,awards,original_language,budget,revenue,rating
0,Avatar Aang: The Last Airbender,2026,PG,"Animation , Action , Adventure , and Fantasy",1h 39m,Tim Hedrick,,English,-,-,92
1,Accidental Partners,2026,PG-13,Comedy and Romance,1h 50m,Ihtzi Hurtado,,Spanish; Castilian,-,-,89
2,Swapped,2026,PG,"Adventure , Animation , Family , and Fantasy",1h 42m,Nathan Greno,,English,7,7,89
3,Facing El Chapo,2026,R,"Crime , Action , and Thriller",1h 31m,Chava Cartas,,Spanish; Castilian,-,-,88
4,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,R,"Animation , Action , and Fantasy",2h 36m,Haruo Sotozaki,3 Wins,Japanese,20000000,733030221,88
5,The Shawshank Redemption,1994,R,Drama and Crime,2h 22m,Frank Darabont,2 Wins,English,25000000,28341469,87
6,The Godfather,1972,R,Drama and Crime,2h 55m,Francis Ford Coppola,1 Win,English,6000000,245066411,87
7,Michael,2026,PG-13,Music and Drama,2h 8m,Antoine Fuqua,2 Wins,English,250000000,1032616139,87
8,Project Hail Mary,2026,PG-13,Science Fiction and Adventure,2h 37m,Christopher Miller,4 Wins,English,200000000,684234722,86
9,The Godfather Part II,1974,R,Drama and Crime,3h 22m,Francis Ford Coppola,1 Win,English,13000000,102600000,86
10,12 Angry Men,1957,NR,Drama,1h 37m,Reginald Rose,,English,397751,4360000,86
11,Schindler's List,1993,R,"Drama , History , and War",3h 15m,Steven Spielberg,3 Wins,English,22000000,321365567,86
12,Young Hearts,2024,NR,Drama and Romance,1h 39m,Anthony Schatteman,,Dutch; Flemish,-,136344,86
13,Chainsaw Man - The Movie: Reze Arc,2025,R,"Animation , Action , Romance , and Fantasy",1h 40m,Tatsuya Yoshihara,,Japanese,4100000,191400000,85
14,The Dark Knight,2008,PG-13,"Action , Crime , and Thriller",2h 32m,Christopher Nolan,8 Wins,English,185000000,1004558444,85
15,Spirited Away,2001,PG,"Animation , Family , and Fantasy",2h 5m,Hayao Miyazaki,11 Wins,Japanese,19000000,274925095,85
16,The Green Mile,1999,R,"Fantasy , Drama , and Crime",3h 9m,Frank Darabont,1 Win,English,60000000,286801374,85
17,The Lord of the Rings: The Return of the King,2003,PG-13,"Adventure , Fantasy , and Action",3h 21m,Peter Jackson,16 Wins,English,94000000,1118888979,85
18,Dilwale Dulhania Le Jayenge,1995,PG,"Comedy , Drama , and Romance",3h 10m,Aditya Chopra,,Hindi,13200000,100000000,85
19,Parasite,2019,R,"Comedy , Thriller , and Drama",2h 13m,Bong Joon Ho,13 Wins,Korean,11363000,257591776,85
20,Interstellar,2014,PG-13,"Adventure , Drama , and Science Fiction",2h 49m,Christopher Nolan,3 Wins,English,165000000,746606706,85
21,Your Name.,2016,PG,"Animation , Romance , and Drama",1h 46m,Makoto Shinkai,5 Wins,Japanese,7500000,407210429,85
22,Pulp Fiction,1994,R,"Thriller , Crime , and Comedy",2h 34m,Quentin Tarantino,4 Wins,English,8000000,213928762,85
23,¿Quieres ser mi hijo?,2023,PG-13,Comedy and Romance,1h 40m,Ihtzi Hurtado,,English,-,-,85
24,"The Good, the Bad and the Ugly",1966,R,Western,2h 41m,Sergio Leone,,Italian,1200000,38900000,85
25,Forrest Gump,1994,PG-13,"Comedy , Drama , and Romance",2h 22m,Robert Zemeckis,5 Wins,English,55000000,677387716,85
26,Harakiri,1962,NR,"Action , Drama , and History",2h 15m,Masaki Kobayashi,4 Wins,Japanese,-,-,85
27,Seven Samurai,1954,NR,Action and Drama,3h 27m,Akira Kurosawa,1 Win,Japanese,2000000,105000000,85
28,Selena Gomez: My Mind & Me,2022,R,Documentary and Music,1h 35m,Alek Keshishian,,English,-,-,85
29,GoodFellas,1990,R,Drama and Crime,2h 25m,Martin Scorsese,,English,25000000,47072327,85
30,Grave of the Fireflies,1988,PG-13,"Animation , Drama , and War",1h 29m,Isao Takahata,,Japanese,3700000,842132,84
31,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,"Adventure , Fantasy , and Action",2h 59m,Peter Jackson,8 Wins,English,93000000,871368364,84
32,Life Is Beautiful,1997,PG-13,Comedy and Drama,1h 56m,Roberto Benigni,4 Wins,Italian,20000000,230098753,84
33,Fight Club,1999,R,Drama and Thriller,2h 19m,David Fincher,,English,63000000,100853753,84
34,Protector,2026,R,Action and Thriller,1h 30m,Adrian Grünberg,,English,-,1993982,84
35,Human,2015,U,Documentary,3h 11m,Yann Arthus-Bertrand,,French,15483821,-,84
36,Remarkably Bright Creatures,2026,PG-13,Drama and Mystery,1h 54m,Olivia Newman,,English,-,-,84
37,Cinema Paradiso,1988,PG,Drama and Romance,2h 4m,Giuseppe Tornatore,1 Win,Italian,5000000,35962062,84
